Iteration,Discriminator Loss,Generator Loss
8450,1.486910,0.702331
8460,1.233287,0.578772
8470,1.068613,0.826414
8480,1.348463,0.786240
8490,1.370474,0.592405
8500,1.322061,0.734518
8510,1.277487,0.616300
8520,1.249725,0.571927
8530,1.268375,0.639478
8540,1.367795,0.915967
8550,1.336603,0.575822
8560,1.323008,0.571251
8570,1.386617,0.349481
8580,1.356582,0.696474
8590,1.308968,0.675162
8600,1.507721,0.663378
8610,1.340994,0.563873
8620,1.340260,0.434328
8630,1.354188,0.684926
8640,1.300658,0.611832
8650,1.353427,0.673352
8660,1.354282,0.689919
8670,1.350421,0.658975
8680,1.382304,0.663318
8690,1.423971,0.488065
8700,1.332593,0.841391
8710,1.252515,0.652109
8720,1.336827,0.729905
8730,1.306741,0.668818
8740,1.348278,0.622097
8750,1.425302,0.794487
8760,1.362340,0.684670
8770,1.351989,0.742782
8780,1.205801,0.591181
8790,1.280287,0.705343
8800,1.381756,0.656526
8810,1.246866,0.420375
8820,1.352099,0.614074
8830,1.362116,0.659121
8840,1.396514,0.626318
8850,1.281720,0.450723
8860,1.169665,0.695333
8870,1.322820,0.719487
8880,1.368446,0.632464
8890,1.344631,0.647469
8900,1.352375,0.662489
8910,1.190710,0.436506
8920,1.577592,0.551965
8930,1.319201,0.611890
8940,1.289975,0.695185
8950,1.231095,0.625911
8960,1.257262,0.593324
8970,1.287408,0.638879
8980,1.348234,0.699555
8990,1.447754,0.691863
9000,1.304791,0.629438
9010,1.366690,0.606132
9020,1.338107,0.617276
9030,1.338294,0.688981
9040,1.377851,0.689652
9050,1.311293,0.550512
9060,1.349459,0.662091
9070,1.337644,0.678064
9080,1.417379,0.752435
9090,1.356753,0.625222
9100,1.384226,0.545278
9110,1.396748,0.746028
9120,1.319769,0.531389
9130,1.215569,0.638872
9140,1.392931,0.670077
9150,1.281458,0.534566
9160,1.189751,0.691425
9170,1.349900,0.677799
9180,1.365500,0.682682
9190,1.396816,0.657618
9200,1.494723,0.630681
9210,1.140613,0.447015
9220,1.300919,0.619058
9230,1.260492,0.623849
9240,1.219792,0.528275
9250,1.364136,0.608426
9260,1.433378,0.809256
9270,1.266670,0.631216
9280,1.373922,0.636805
9290,1.279565,0.594979
9300,1.328037,0.566057
9310,1.230414,0.704035
9320,1.284315,0.585158
9330,1.324194,0.667033
9340,1.162444,0.668437
9350,1.322436,0.648424
9360,1.233323,0.589820
9370,1.348509,0.628049
9380,1.333176,0.572726
9390,1.345627,0.681670
9400,1.227191,0.582012
9410,1.355827,0.685382
9420,1.339895,0.761694
9430,1.341301,0.541409
9440,1.238705,0.620479
9450,1.298913,0.774781
9460,1.384403,0.597716
9470,1.362756,0.669804
9480,1.378774,0.636309
9490,1.380527,0.490329
9500,1.330548,0.649630
9510,1.343104,0.877141
9520,1.370403,0.688679
9530,1.208969,0.528076
9540,1.438084,0.458159
9550,1.299205,0.617666
9560,1.331502,0.705764
9570,1.362838,0.710530
9580,1.379569,0.757081
9590,1.322356,0.605637
9600,1.423779,0.706949
9610,1.326225,0.652217
9620,1.307465,0.660116
9630,1.271057,0.595367
9640,1.327221,0.687949
9650,1.558367,0.629109
9660,1.261679,0.642317
9670,1.331943,0.618699
9680,1.358217,0.414110
9690,1.340818,0.659710
9700,1.351819,0.693582
9710,1.253214,0.533637
9720,1.496071,0.411519
9730,1.199698,0.656978
9740,1.279023,0.434958
9750,1.371830,0.639891
9760,1.233603,0.543154
9770,1.360689,0.660295
9780,1.271985,0.509898
9790,1.218055,0.750887
9800,1.357278,0.713402
9810,1.340652,0.577472
9820,1.502699,0.683401
9830,1.323754,0.624785
9840,1.348138,0.664703
9850,1.396957,0.782423
9860,1.277229,0.674882
9870,1.254426,0.665447
9880,1.298568,0.511179
9890,1.336661,0.640202
9900,1.255367,0.559803
9910,1.376944,0.781052
9920,1.327720,0.681877
9930,1.385536,0.711004
9940,1.262186,0.497238
9950,1.371615,0.477765
9960,1.380187,0.660557
9970,1.253050,0.632671
9980,1.372468,0.452869
9990,1.291203,0.678393
10000,1.324872,0.619335
